participantId,task,duration_sec,format
67895b7d6400163124042af7,introduction,395.748,jsonc
67895b7d6400163124042af7,qualifications,10.282,jsonc
67895b7d6400163124042af7,consent,63.068,jsonc
67895b7d6400163124042af7,task,14.61,jsonc
67895b7d6400163124042af7,writing-task-NL,475.83,jsonc
67895b7d6400163124042af7,writing-task-NL_post-task-question,12.149,jsonc
67895b7d6400163124042af7,tutorial-part1,1041.179,jsonc
67895b7d6400163124042af7,tutorial-part2,174.238,jsonc
67895b7d6400163124042af7,reading-task-config-1,65.634,jsonc
67895b7d6400163124042af7,reading-task-config-1_post-task-question,7.313,jsonc
67895b7d6400163124042af7,reading-task-config-2,68.938,jsonc
67895b7d6400163124042af7,reading-task-config-2_post-task-question,6.284,jsonc
67895b7d6400163124042af7,reading-task-config-3,35.185,jsonc
67895b7d6400163124042af7,reading-task-config-3_post-task-question,8.705,jsonc
67895b7d6400163124042af7,reading-task-config-4,74.699,jsonc
67895b7d6400163124042af7,reading-task-config-4_post-task-question,5.082,jsonc
67895b7d6400163124042af7,reading-task-config-5,30.321,jsonc
67895b7d6400163124042af7,reading-task-config-5_post-task-question,6.296,jsonc
67895b7d6400163124042af7,writing-task-config,682.865,jsonc
67895b7d6400163124042af7,writing-task-config_post-task-question,6.264,jsonc
67895b7d6400163124042af7,modifying-task-config-1,24.44,jsonc
67895b7d6400163124042af7,modifying-task-config-1_post-task-question,4.327,jsonc
67895b7d6400163124042af7,modifying-task-config-2,4.765,jsonc
67895b7d6400163124042af7,modifying-task-config-2_post-task-question,5.971,jsonc
67895b7d6400163124042af7,modifying-task-config-3,3.927,jsonc
67895b7d6400163124042af7,modifying-task-config-3_post-task-question,5.505,jsonc
67895b7d6400163124042af7,modifying-task-config-4,4.457,jsonc
67895b7d6400163124042af7,modifying-task-config-4_post-task-question,5.897,jsonc
67895b7d6400163124042af7,$nasa-tlx.co.nasa-tlx,35.072,jsonc
67895b7d6400163124042af7,post-task-survey-tlx,123.23,jsonc
659960f32faa4ff4b116de92,introduction,31.69,toml
659960f32faa4ff4b116de92,qualifications,8.956,toml
659960f32faa4ff4b116de92,consent,88.247,toml
659960f32faa4ff4b116de92,task,77.364,toml
659960f32faa4ff4b116de92,writing-task-NL,135.042,toml
659960f32faa4ff4b116de92,writing-task-NL_post-task-question,6.977,toml
659960f32faa4ff4b116de92,tutorial-part1,588.01,toml
659960f32faa4ff4b116de92,tutorial-part2,220.866,toml
659960f32faa4ff4b116de92,reading-task-config-1,53.841,toml
659960f32faa4ff4b116de92,reading-task-config-1_post-task-question,8.721,toml
659960f32faa4ff4b116de92,reading-task-config-2,19.583,toml
659960f32faa4ff4b116de92,reading-task-config-2_post-task-question,11.711,toml
659960f32faa4ff4b116de92,reading-task-config-3,33.221,toml
659960f32faa4ff4b116de92,reading-task-config-3_post-task-question,9.016,toml
659960f32faa4ff4b116de92,reading-task-config-4,373.621,toml
659960f32faa4ff4b116de92,reading-task-config-4_post-task-question,4.735,toml
659960f32faa4ff4b116de92,reading-task-config-5,28.347,toml
659960f32faa4ff4b116de92,reading-task-config-5_post-task-question,3.386,toml
659960f32faa4ff4b116de92,writing-task-config,940.635,toml
659960f32faa4ff4b116de92,writing-task-config_post-task-question,5.138,toml
659960f32faa4ff4b116de92,modifying-task-config-1,100.503,toml
659960f32faa4ff4b116de92,modifying-task-config-1_post-task-question,4.6,toml
659960f32faa4ff4b116de92,modifying-task-config-2,139.587,toml
659960f32faa4ff4b116de92,modifying-task-config-2_post-task-question,6.009,toml
659960f32faa4ff4b116de92,modifying-task-config-3,67.235,toml
659960f32faa4ff4b116de92,modifying-task-config-3_post-task-question,3.136,toml
659960f32faa4ff4b116de92,modifying-task-config-4,286.226,toml
659960f32faa4ff4b116de92,modifying-task-config-4_post-task-question,4.431,toml
659960f32faa4ff4b116de92,$nasa-tlx.co.nasa-tlx,46.501,toml
659960f32faa4ff4b116de92,post-task-survey-tlx,108.595,toml
5f7f239e9b204e05b6c36538,introduction,59.055,json5
5f7f239e9b204e05b6c36538,qualifications,11.053,json5
5f7f239e9b204e05b6c36538,consent,39.71,json5
5f7f239e9b204e05b6c36538,task,12.345,json5
5f7f239e9b204e05b6c36538,writing-task-NL,231.544,json5
5f7f239e9b204e05b6c36538,writing-task-NL_post-task-question,5.518,json5
5f7f239e9b204e05b6c36538,tutorial-part1,1135.172,json5
5f7f239e9b204e05b6c36538,tutorial-part2,509.298,json5
5f7f239e9b204e05b6c36538,reading-task-config-1,305.9,json5
5f7f239e9b204e05b6c36538,reading-task-config-1_post-task-question,6.46,json5
5f7f239e9b204e05b6c36538,reading-task-config-2,27.271,json5
