participantId,task,format,correct count,score
64457bc906c125cebd4bf66b,reading-task-tabular-1,json5,0,0.0
64457bc906c125cebd4bf66b,reading-task-tabular-2,json5,1,1.0
64457bc906c125cebd4bf66b,reading-task-tabular-3,json5,1,1.0
64457bc906c125cebd4bf66b,reading-task-tabular-4,json5,1,1.0
64457bc906c125cebd4bf66b,reading-task-tabular-5,json5,1,1.0
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-1,hjson,1,1.0
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-2,hjson,1,1.0
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-3,hjson,1,1.0
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-4,hjson,1,1.0
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-5,hjson,0,0.0
67e25388d573ec2d5f1c8442,reading-task-tabular-1,yaml,1,1.0
67e25388d573ec2d5f1c8442,reading-task-tabular-2,yaml,0,0.0
67e25388d573ec2d5f1c8442,reading-task-tabular-3,yaml,1,1.0
67e25388d573ec2d5f1c8442,reading-task-tabular-4,yaml,1,1.0
67e25388d573ec2d5f1c8442,reading-task-tabular-5,yaml,1,1.0
67e5cf90b79d0874e1cf16b0,reading-task-tabular-1,toml,1,1.0
67e5cf90b79d0874e1cf16b0,reading-task-tabular-2,toml,1,1.0
67e5cf90b79d0874e1cf16b0,reading-task-tabular-3,toml,1,1.0
67e5cf90b79d0874e1cf16b0,reading-task-tabular-4,toml,1,1.0
67e5cf90b79d0874e1cf16b0,reading-task-tabular-5,toml,1,1.0
67d00f24466a67ba7e41228e,reading-task-tabular-1,toml,1,1.0
67d00f24466a67ba7e41228e,reading-task-tabular-2,toml,1,1.0
67d00f24466a67ba7e41228e,reading-task-tabular-3,toml,1,1.0
67d00f24466a67ba7e41228e,reading-task-tabular-4,toml,1,1.0
67d00f24466a67ba7e41228e,reading-task-tabular-5,toml,1,1.0
66475d6f7b27e4443ef0d031,reading-task-tabular-1,json,1,1.0
66475d6f7b27e4443ef0d031,reading-task-tabular-2,json,1,1.0
66475d6f7b27e4443ef0d031,reading-task-tabular-3,json,1,1.0
66475d6f7b27e4443ef0d031,reading-task-tabular-4,json,1,1.0
66475d6f7b27e4443ef0d031,reading-task-tabular-5,json,1,1.0
6672d878f68b9e349b56e871,reading-task-tabular-1,toml,1,1.0
6672d878f68b9e349b56e871,reading-task-tabular-2,toml,1,1.0
6672d878f68b9e349b56e871,reading-task-tabular-3,toml,1,1.0
6672d878f68b9e349b56e871,reading-task-tabular-4,toml,1,1.0
6672d878f68b9e349b56e871,reading-task-tabular-5,toml,1,1.0
67f5bb69760b211cdfe8021c,reading-task-tabular-1,jsonc,1,1.0
67f5bb69760b211cdfe8021c,reading-task-tabular-2,jsonc,1,1.0
67f5bb69760b211cdfe8021c,reading-task-tabular-3,jsonc,1,1.0
67f5bb69760b211cdfe8021c,reading-task-tabular-4,jsonc,1,1.0
67f5bb69760b211cdfe8021c,reading-task-tabular-5,jsonc,1,1.0
67e571bef6af7ecd9c29ad72,reading-task-tabular-1,json,1,1.0
67e571bef6af7ecd9c29ad72,reading-task-tabular-2,json,1,1.0
67e571bef6af7ecd9c29ad72,reading-task-tabular-3,json,1,1.0
67e571bef6af7ecd9c29ad72,reading-task-tabular-4,json,1,1.0
67e571bef6af7ecd9c29ad72,reading-task-tabular-5,json,0,0.0
60f1f1d4ac991a259b83f603,reading-task-tabular-1,json,1,1.0
60f1f1d4ac991a259b83f603,reading-task-tabular-2,json,1,1.0
60f1f1d4ac991a259b83f603,reading-task-tabular-3,json,0,0.0
60f1f1d4ac991a259b83f603,reading-task-tabular-4,json,1,1.0
60f1f1d4ac991a259b83f603,reading-task-tabular-5,json,1,1.0
678f0bb28ec3307e4f1afb78,reading-task-tabular-1,hjson,1,1.0
678f0bb28ec3307e4f1afb78,reading-task-tabular-2,hjson,1,1.0
678f0bb28ec3307e4f1afb78,reading-task-tabular-3,hjson,1,1.0
678f0bb28ec3307e4f1afb78,reading-task-tabular-4,hjson,1,1.0
678f0bb28ec3307e4f1afb78,reading-task-tabular-5,hjson,1,1.0
669b961e1c9cf30a26bb57d2,reading-task-tabular-1,xml,1,1.0
669b961e1c9cf30a26bb57d2,reading-task-tabular-2,xml,1,1.0
669b961e1c9cf30a26bb57d2,reading-task-tabular-3,xml,1,1.0
669b961e1c9cf30a26bb57d2,reading-task-tabular-4,xml,1,1.0
669b961e1c9cf30a26bb57d2,reading-task-tabular-5,xml,1,1.0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-1,json,1,1.0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-2,json,1,1.0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-3,json,1,1.0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-4,json,1,1.0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-5,json,0,0.0
66992f58a7964f557fc75f58,reading-task-tabular-1,toml,1,1.0
66992f58a7964f557fc75f58,reading-task-tabular-2,toml,1,1.0
66992f58a7964f557fc75f58,reading-task-tabular-3,toml,1,1.0
66992f58a7964f557fc75f58,reading-task-tabular-4,toml,1,1.0
66992f58a7964f557fc75f58,reading-task-tabular-5,toml,1,1.0
60721c2da01b3a616edba9a7,reading-task-tabular-1,xml,0,0.0
60721c2da01b3a616edba9a7,reading-task-tabular-2,xml,1,1.0
60721c2da01b3a616edba9a7,reading-task-tabular-3,xml,0,0.0
60721c2da01b3a616edba9a7,reading-task-tabular-4,xml,1,1.0
60721c2da01b3a616edba9a7,reading-task-tabular-5,xml,1,1.0
673e43cc760355e9e4f042a3,reading-task-tabular-1,json5,1,1.0
673e43cc760355e9e4f042a3,reading-task-tabular-2,json5,1,1.0
673e43cc760355e9e4f042a3,reading-task-tabular-3,json5,0,0.0
673e43cc760355e9e4f042a3,reading-task-tabular-4,json5,1,1.0
673e43cc760355e9e4f042a3,reading-task-tabular-5,json5,0,0.0
60a0b744298c64d46b63e893,reading-task-tabular-1,hjson,1,1.0
60a0b744298c64d46b63e893,reading-task-tabular-2,hjson,1,1.0
60a0b744298c64d46b63e893,reading-task-tabular-3,hjson,1,1.0
60a0b744298c64d46b63e893,reading-task-tabular-4,hjson,1,1.0
60a0b744298c64d46b63e893,reading-task-tabular-5,hjson,1,1.0
67dc19c31078d1581e39e75a,reading-task-tabular-1,yaml,0,0.0
67dc19c31078d1581e39e75a,reading-task-tabular-2,yaml,1,1.0
67dc19c31078d1581e39e75a,reading-task-tabular-3,yaml,0,0.0
67dc19c31078d1581e39e75a,reading-task-tabular-4,yaml,1,1.0
67dc19c31078d1581e39e75a,reading-task-tabular-5,yaml,0,0.0
678bad003d15e6aba1ee5a5d,reading-task-tabular-1,jsonc,1,1.0
678bad003d15e6aba1ee5a5d,reading-task-tabular-2,jsonc,1,1.0
678bad003d15e6aba1ee5a5d,reading-task-tabular-3,jsonc,1,1.0
678bad003d15e6aba1ee5a5d,reading-task-tabular-4,jsonc,1,1.0
678bad003d15e6aba1ee5a5d,reading-task-tabular-5,jsonc,1,1.0
66cdfebcb908ea2717d06b6c,reading-task-tabular-1,hjson,1,1.0
66cdfebcb908ea2717d06b6c,reading-task-tabular-2,hjson,1,1.0
66cdfebcb908ea2717d06b6c,reading-task-tabular-3,hjson,1,1.0
66cdfebcb908ea2717d06b6c,reading-task-tabular-4,hjson,1,1.0
66cdfebcb908ea2717d06b6c,reading-task-tabular-5,hjson,0,0.0
67f0c5d37f91ceae5cb3b318,reading-task-tabular-1,jsonc,1,1.0
67f0c5d37f91ceae5cb3b318,reading-task-tabular-2,jsonc,1,1.0
67f0c5d37f91ceae5cb3b318,reading-task-tabular-3,jsonc,1,1.0
67f0c5d37f91ceae5cb3b318,reading-task-tabular-4,jsonc,1,1.0
67f0c5d37f91ceae5cb3b318,reading-task-tabular-5,jsonc,1,1.0
56cb8858edf8da000b6df354,reading-task-tabular-1,hjson,1,1.0
56cb8858edf8da000b6df354,reading-task-tabular-2,hjson,1,1.0
56cb8858edf8da000b6df354,reading-task-tabular-3,hjson,1,1.0
