participantId,task,difficulty,confidence,format
67895b7d6400163124042af7,writing-task-NL,4,4,jsonc
67895b7d6400163124042af7,reading-task-config-1,6,4,jsonc
67895b7d6400163124042af7,reading-task-config-2,7,3,jsonc
67895b7d6400163124042af7,reading-task-config-3,6,4,jsonc
67895b7d6400163124042af7,reading-task-config-4,6,4,jsonc
67895b7d6400163124042af7,reading-task-config-5,5,4,jsonc
67895b7d6400163124042af7,writing-task-config,7,4,jsonc
67895b7d6400163124042af7,modifying-task-config-1,7,4,jsonc
67895b7d6400163124042af7,modifying-task-config-2,6,4,jsonc
67895b7d6400163124042af7,modifying-task-config-3,7,5,jsonc
67895b7d6400163124042af7,modifying-task-config-4,7,5,jsonc
659960f32faa4ff4b116de92,writing-task-NL,1,7,toml
659960f32faa4ff4b116de92,reading-task-config-1,5,1,toml
659960f32faa4ff4b116de92,reading-task-config-2,4,5,toml
659960f32faa4ff4b116de92,reading-task-config-3,4,2,toml
659960f32faa4ff4b116de92,reading-task-config-4,7,1,toml
659960f32faa4ff4b116de92,reading-task-config-5,1,7,toml
659960f32faa4ff4b116de92,writing-task-config,7,1,toml
659960f32faa4ff4b116de92,modifying-task-config-1,1,3,toml
659960f32faa4ff4b116de92,modifying-task-config-2,3,2,toml
659960f32faa4ff4b116de92,modifying-task-config-3,1,7,toml
659960f32faa4ff4b116de92,modifying-task-config-4,3,5,toml
5f7f239e9b204e05b6c36538,writing-task-NL,1,1,json5
5f7f239e9b204e05b6c36538,reading-task-config-1,4,2,json5
5f7f239e9b204e05b6c36538,reading-task-config-2,1,3,json5
5f7f239e9b204e05b6c36538,reading-task-config-3,1,6,json5
5f7f239e9b204e05b6c36538,reading-task-config-4,7,1,json5
5f7f239e9b204e05b6c36538,reading-task-config-5,7,1,json5
5f7f239e9b204e05b6c36538,writing-task-config,7,1,json5
5f7f239e9b204e05b6c36538,modifying-task-config-1,7,1,json5
5f7f239e9b204e05b6c36538,modifying-task-config-2,7,1,json5
5f7f239e9b204e05b6c36538,modifying-task-config-3,3,4,json5
5f7f239e9b204e05b6c36538,modifying-task-config-4,5,2,json5
67b8636acd5ed420cc098b64,writing-task-NL,7,7,toml
67b8636acd5ed420cc098b64,reading-task-config-1,7,3,toml
67b8636acd5ed420cc098b64,reading-task-config-2,4,1,toml
67b8636acd5ed420cc098b64,reading-task-config-3,7,1,toml
67b8636acd5ed420cc098b64,reading-task-config-4,7,2,toml
67b8636acd5ed420cc098b64,reading-task-config-5,1,7,toml
67b8636acd5ed420cc098b64,writing-task-config,7,1,toml
67b8636acd5ed420cc098b64,modifying-task-config-1,7,2,toml
67b8636acd5ed420cc098b64,modifying-task-config-2,7,1,toml
67b8636acd5ed420cc098b64,modifying-task-config-3,4,2,toml
67b8636acd5ed420cc098b64,modifying-task-config-4,5,3,toml
57ca4b09993b08000192297b,writing-task-NL,1,4,xml
57ca4b09993b08000192297b,reading-task-config-1,1,7,xml
57ca4b09993b08000192297b,reading-task-config-2,1,7,xml
57ca4b09993b08000192297b,reading-task-config-3,3,6,xml
57ca4b09993b08000192297b,reading-task-config-4,2,6,xml
57ca4b09993b08000192297b,reading-task-config-5,1,7,xml
57ca4b09993b08000192297b,writing-task-config,4,4,xml
57ca4b09993b08000192297b,modifying-task-config-1,2,7,xml
57ca4b09993b08000192297b,modifying-task-config-2,2,6,xml
