participantId,format,task,difficulty,confidence
64457bc906c125cebd4bf66b,json5,writing-task-NL,1,7
64457bc906c125cebd4bf66b,json5,reading-task-tabular-1,4,4
64457bc906c125cebd4bf66b,json5,reading-task-tabular-2,4,3
64457bc906c125cebd4bf66b,json5,reading-task-tabular-3,5,3
64457bc906c125cebd4bf66b,json5,reading-task-tabular-4,3,5
64457bc906c125cebd4bf66b,json5,reading-task-tabular-5,6,2
64457bc906c125cebd4bf66b,json5,writing-task-tabular,7,1
64457bc906c125cebd4bf66b,json5,modifying-task-tabular-1,5,2
64457bc906c125cebd4bf66b,json5,modifying-task-tabular-2,4,3
64457bc906c125cebd4bf66b,json5,modifying-task-tabular-3,5,2
64457bc906c125cebd4bf66b,json5,modifying-task-tabular-4,5,1
6697c8b6d9d7baa7edd8c4d3,hjson,writing-task-NL,1,1
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular-1,1,1
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular-2,3,6
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular-3,1,7
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular-4,1,7
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular-5,4,3
6697c8b6d9d7baa7edd8c4d3,hjson,writing-task-tabular,7,1
6697c8b6d9d7baa7edd8c4d3,hjson,modifying-task-tabular-1,2,6
6697c8b6d9d7baa7edd8c4d3,hjson,modifying-task-tabular-2,3,5
6697c8b6d9d7baa7edd8c4d3,hjson,modifying-task-tabular-3,5,1
6697c8b6d9d7baa7edd8c4d3,hjson,modifying-task-tabular-4,3,4
67e25388d573ec2d5f1c8442,yaml,writing-task-NL,1,7
67e25388d573ec2d5f1c8442,yaml,reading-task-tabular-1,5,7
67e25388d573ec2d5f1c8442,yaml,reading-task-tabular-2,3,6
67e25388d573ec2d5f1c8442,yaml,reading-task-tabular-3,3,6
67e25388d573ec2d5f1c8442,yaml,reading-task-tabular-4,1,7
