participantId,farmilarity_pj,format
67895b7d6400163124042af7,Somewhat familiar,jsonc
659960f32faa4ff4b116de92,Not familiar at all,toml
5f7f239e9b204e05b6c36538,Not familiar at all,json5
67b8636acd5ed420cc098b64,Somewhat familiar,toml
57ca4b09993b08000192297b,Somewhat familiar,xml
67d1cc8044430e99a7d91b4a,Somewhat familiar,toml
6693ce87e76d32ccf07fbcd8,Not familiar at all,xml
680ebf035ab59d342f31726e,Not familiar at all,hjson
67f0d86fabc081fdc410e828,Not familiar at all,yaml
6691809035e52ca9b2b0f39a,Not familiar at all,yaml
678faf5b31008609fd85b185,Not familiar at all,json5
65e85a421f2dee53c62fbf45,Not familiar at all,json5
666b0b42bb6fa2822fa27a32,Not familiar at all,json5
6708da9c62672d0fe65b6683,Not familiar at all,jsonc
60f70af563ef757f65e750e0,Not familiar at all,xml
670f9ddb0e32533c222c3031,Somewhat familiar,json
67d03135f855dd0ff0994265,Somewhat familiar,toml
674f479b2a4ef75e4551f258,Somewhat familiar,json5
5ee4a14b578f8a000b384376,Not familiar at all,yaml
63af557b3d4f219c3226b7d6,Not familiar at all,yaml
65583ffa38bfc41805a553cd,Very familiar,hjson
66684d30d1a0d64a3a348c82,Somewhat familiar,yaml
60ec51c51a3158a50ded8a3e,Very familiar,json5
671bdd06525adeea062a1d73,Very familiar,json
6647e8618c77f7b938865d25,Very familiar,json5
613a541cf948d295c1df8752,Not familiar at all,jsonc
5e5c993cd0394c474f7cc502,Not familiar at all,toml
67c045fa5074c5500ca40e76,Very familiar,xml
67d2eaf9d5996dc6be1c7072,Somewhat familiar,xml
60e2ebb6ad1d5ee0e515a7c5,Not familiar at all,yaml
67153c0d669d191ab273b865,Not familiar at all,yaml
67ab1d683813ed19603e1030,Somewhat familiar,yaml
60e343946a7faddde88fbe3c,Somewhat familiar,yaml
67e0333064ddada0e2fc6f1e,Very familiar,yaml
5b3ec4332a5fbf00014eae57,Not familiar at all,toml
66912d7bf9d35c08f6919958,Very familiar,json
6717980047b565ab5b849317,Somewhat familiar,hjson
651b29ff3a6cadf518640abe,Not familiar at all,xml
6818ca1523ece90f671e3601,Somewhat familiar,json
