participantId,farmilarity_pj,format
64457bc906c125cebd4bf66b,Not familiar at all,json5
6697c8b6d9d7baa7edd8c4d3,Not familiar at all,hjson
67e25388d573ec2d5f1c8442,Somewhat familiar,yaml
67e5cf90b79d0874e1cf16b0,Very familiar,toml
67d00f24466a67ba7e41228e,Somewhat familiar,toml
66475d6f7b27e4443ef0d031,Not familiar at all,json
6672d878f68b9e349b56e871,Somewhat familiar,toml
67f5bb69760b211cdfe8021c,Somewhat familiar,jsonc
67e571bef6af7ecd9c29ad72,Very familiar,json
60f1f1d4ac991a259b83f603,Not familiar at all,json
678f0bb28ec3307e4f1afb78,Not familiar at all,hjson
669b961e1c9cf30a26bb57d2,Somewhat familiar,xml
673c13c9d37c8a73bc80b8ce,Somewhat familiar,json
66992f58a7964f557fc75f58,Not familiar at all,toml
60721c2da01b3a616edba9a7,Not familiar at all,xml
673e43cc760355e9e4f042a3,Somewhat familiar,json5
60a0b744298c64d46b63e893,Not familiar at all,hjson
67dc19c31078d1581e39e75a,Somewhat familiar,yaml
678bad003d15e6aba1ee5a5d,Somewhat familiar,jsonc
66cdfebcb908ea2717d06b6c,Somewhat familiar,hjson
67f0c5d37f91ceae5cb3b318,Very familiar,jsonc
56cb8858edf8da000b6df354,Somewhat familiar,hjson
67aee0dfad3492b61a9ba0eb,Not familiar at all,jsonc
667971a555af1f83d3f29ae7,Somewhat familiar,hjson
5c6414540821d30001046198,Not familiar at all,hjson
6788c1c724c24dc56b08790a,Somewhat familiar,json5
67adb520391eb17f214a50b4,Somewhat familiar,yaml
67d95269b47464c18da766ca,Not familiar at all,xml
64275e53f51a5ed4f6b7d019,Not familiar at all,toml
6734346ca8e90c2da6fb4509,Very familiar,jsonc
66049694dfb8828a8f3dce70,Not familiar at all,yaml
67ab214c2cde1be7c45535ac,Somewhat familiar,jsonc
607728dc0b4f8590b94ae57c,Very familiar,jsonc
667c18ace97ab6869cb1c50e,Not familiar at all,hjson
667ac09492ea0caadf488520,Somewhat familiar,json
6740ae39809389d7da9de209,Not familiar at all,xml
67c246023b44ca64d40ae45a,Somewhat familiar,json5
67debe02a893eea51e8d02f2,Somewhat familiar,json
673d0377254c407e5da57f97,Somewhat familiar,toml
62fd14d7b1e0729dc8aadb79,Not familiar at all,xml
5dafea4de40355001651fa2f,Not familiar at all,jsonc
6787e4bd2bf9557a90208f03,Somewhat familiar,yaml
5e8a5a892f6f027054a83d88,Not familiar at all,toml
67e4920c40c9561040ca01d0,Somewhat familiar,xml
615200d54efc832849db2259,Somewhat familiar,json
67f184a3b82990251abd1592,Somewhat familiar,yaml
67bf88cc763aae600b429a3e,Not familiar at all,toml
67a754a5c8614c52a939d87b,Very familiar,hjson
60fce3df91350150e2e88423,Not familiar at all,yaml
67d29234dbfdb6668d124115,Not familiar at all,yaml
65cf6d8a589a67afcab54e6f,Very familiar,hjson
672d98919cc177d28c204e76,Not familiar at all,json5
66b0d065329001a04e5ae671,Somewhat familiar,json
67f1a4f8dd44e7cd5adffa29,Very familiar,json5
5e3b5fa9255e7a37bc841135,Not familiar at all,json
677c52fe648cd68583dd3b1e,Somewhat familiar,xml
5d30dfa68b1523000134878f,Somewhat familiar,json
671a519900a99ebc15a67672,Somewhat familiar,yaml
672ca6c0324ac26cdc0dd298,Somewhat familiar,json5
67d7fa657f5ac0292a291a38,Somewhat familiar,hjson
677d185800ab83d1b0185d82,Somewhat familiar,jsonc
5b68c9eb87af310001584803,Somewhat familiar,json5
6784ff2095dd9b97e969b01f,Somewhat familiar,jsonc
67eff2b1a264260e948a4d14,Not familiar at all,xml
5ecc71c95c92c2000a9e9a19,Not familiar at all,jsonc
61267b828ead584bcf092e35,Not familiar at all,hjson
6501c0a2e788b5556c24569d,Somewhat familiar,xml
637d8ca00150ac6e71a34ec9,Not familiar at all,yaml
67cb01a82dda2577eb6ee320,Very familiar,json
67e17bac09359e09118892b4,Somewhat familiar,json5
6606b31155457e4f162ecf5a,Very familiar,json5
63e5b3e89a3823139cb9d35e,Not familiar at all,toml
66bb6b7e0ccbed81f3ed30a8,Not familiar at all,xml
6753746b1f8827e2bd586bf0,Not familiar at all,xml
67cd944859dabbd1d4552d39,Somewhat familiar,json
57c357770e6a1f00015f6038,Not familiar at all,json
67d188bcc201cc08eac23f92,Somewhat familiar,json5
67f3619e16d4ca195fbd1bd0,Somewhat familiar,yaml
66781db404eab5e142f849d9,Not familiar at all,jsonc
667c2175b570aa694ce2f63c,Not familiar at all,toml
67d1283c8f6169900d0072d2,Not familiar at all,yaml
5f29eff59714081a3594a331,Not familiar at all,json
65be552ceed6a0595fa1feb5,Not familiar at all,json
6577a27da9f5297d49f38e6f,Not familiar at all,hjson
67eefd0739d752c54dd52686,Very familiar,toml
67e12acb51605ac16c227598,Somewhat familiar,jsonc
67d9788747176969d8d0fa1d,Somewhat familiar,hjson
669a84e18da4349ece0ea67c,Somewhat familiar,xml
67d548b5aa5737666a77a6d2,Very familiar,json5
67ab57e88fd0774428bd1f32,Somewhat familiar,xml
667983594f7d5d70a78c6e5a,Very familiar,json
67f913a9b5c79e960807c7e3,Somewhat familiar,yaml
672003022f1b667a20157c45,Somewhat familiar,yaml
671b65fe04c301eb14263ba5,Very familiar,toml
6787d648d7b1963c661f9443,Somewhat familiar,json5
66a9285501ac98053902d481,Somewhat familiar,toml
66a662a0a709312db9de01f2,Not familiar at all,jsonc
66b246951b9aefec80b7158a,Not familiar at all,json
5d766978f47e6200019a2acf,Not familiar at all,yaml
677d32c679491be18090225b,Somewhat familiar,xml
67d163e7b7bcc1e9718e01da,Somewhat familiar,json5
665c5d94303fdf202ac9ded0,Very familiar,toml
67ab650c320eccf6141d4010,Somewhat familiar,jsonc
65fad673a546ab14baf2f8d3,Not familiar at all,json5
67f1c7bd6f1c4a3d8deae02f,Very familiar,toml
67adb27bd5f5776fcb16da62,Somewhat familiar,hjson
6675c40cdc52b37294f0514e,Somewhat familiar,hjson
