participantId,task,score,format
67895b7d6400163124042af7,mental-demand,90,jsonc
659960f32faa4ff4b116de92,mental-demand,100,toml
5f7f239e9b204e05b6c36538,mental-demand,98,json5
67b8636acd5ed420cc098b64,mental-demand,99,toml
57ca4b09993b08000192297b,mental-demand,90,xml
67d1cc8044430e99a7d91b4a,mental-demand,96,toml
6693ce87e76d32ccf07fbcd8,mental-demand,90,xml
680ebf035ab59d342f31726e,mental-demand,100,hjson
67f0d86fabc081fdc410e828,mental-demand,100,yaml
6691809035e52ca9b2b0f39a,mental-demand,85,yaml
678faf5b31008609fd85b185,mental-demand,75,json5
65e85a421f2dee53c62fbf45,mental-demand,100,json5
666b0b42bb6fa2822fa27a32,mental-demand,82,json5
6708da9c62672d0fe65b6683,mental-demand,100,jsonc
60f70af563ef757f65e750e0,mental-demand,80,xml
670f9ddb0e32533c222c3031,mental-demand,51,json
67d03135f855dd0ff0994265,mental-demand,85,toml
674f479b2a4ef75e4551f258,mental-demand,95,json5
5ee4a14b578f8a000b384376,mental-demand,98,yaml
63af557b3d4f219c3226b7d6,mental-demand,95,yaml
65583ffa38bfc41805a553cd,mental-demand,100,hjson
66684d30d1a0d64a3a348c82,mental-demand,95,yaml
60ec51c51a3158a50ded8a3e,mental-demand,82,json5
671bdd06525adeea062a1d73,mental-demand,46,json
6647e8618c77f7b938865d25,mental-demand,74,json5
613a541cf948d295c1df8752,mental-demand,90,jsonc
5e5c993cd0394c474f7cc502,mental-demand,95,toml
67c045fa5074c5500ca40e76,mental-demand,100,xml
67d2eaf9d5996dc6be1c7072,mental-demand,100,xml
60e2ebb6ad1d5ee0e515a7c5,mental-demand,85,yaml
67153c0d669d191ab273b865,mental-demand,100,yaml
67ab1d683813ed19603e1030,mental-demand,79,yaml
60e343946a7faddde88fbe3c,mental-demand,100,yaml
67e0333064ddada0e2fc6f1e,mental-demand,100,yaml
5b3ec4332a5fbf00014eae57,mental-demand,95,toml
66912d7bf9d35c08f6919958,mental-demand,100,json
6717980047b565ab5b849317,mental-demand,95,hjson
651b29ff3a6cadf518640abe,mental-demand,100,xml
6818ca1523ece90f671e3601,mental-demand,100,json
67c1dd323984fa84ae83e162,mental-demand,99,jsonc
67d2a409ab3638e33fc417b9,mental-demand,100,hjson
66ec8f7ce843d25227820f97,mental-demand,96,hjson
6680d2279263349cc005956a,mental-demand,50,json
6081728972120aa7f9685791,mental-demand,88,json
67aca6831f2b0b79416bdb6c,mental-demand,100,xml
675aaf0eb1b401136f37c475,mental-demand,100,json
6723422d5f63c70998014b03,mental-demand,90,jsonc
6554e79557e3d6be08e32ceb,mental-demand,95,yaml
645b519f108c046164a6d232,mental-demand,70,yaml
589cd166b2a7180001f0527d,mental-demand,98,jsonc
