participantId,task,score,format
64457bc906c125cebd4bf66b,mental-demand,93,json5
6697c8b6d9d7baa7edd8c4d3,mental-demand,90,hjson
67e25388d573ec2d5f1c8442,mental-demand,90,yaml
67e5cf90b79d0874e1cf16b0,mental-demand,97,toml
67d00f24466a67ba7e41228e,mental-demand,79,toml
66475d6f7b27e4443ef0d031,mental-demand,99,json
6672d878f68b9e349b56e871,mental-demand,98,toml
67f5bb69760b211cdfe8021c,mental-demand,79,jsonc
67e571bef6af7ecd9c29ad72,mental-demand,100,json
60f1f1d4ac991a259b83f603,mental-demand,100,json
678f0bb28ec3307e4f1afb78,mental-demand,90,hjson
669b961e1c9cf30a26bb57d2,mental-demand,100,xml
673c13c9d37c8a73bc80b8ce,mental-demand,90,json
66992f58a7964f557fc75f58,mental-demand,99,toml
60721c2da01b3a616edba9a7,mental-demand,100,xml
673e43cc760355e9e4f042a3,mental-demand,100,json5
60a0b744298c64d46b63e893,mental-demand,90,hjson
67dc19c31078d1581e39e75a,mental-demand,65,yaml
678bad003d15e6aba1ee5a5d,mental-demand,55,jsonc
66cdfebcb908ea2717d06b6c,mental-demand,56,hjson
67f0c5d37f91ceae5cb3b318,mental-demand,99,jsonc
56cb8858edf8da000b6df354,mental-demand,30,hjson
67aee0dfad3492b61a9ba0eb,mental-demand,99,jsonc
667971a555af1f83d3f29ae7,mental-demand,80,hjson
5c6414540821d30001046198,mental-demand,98,hjson
6788c1c724c24dc56b08790a,mental-demand,100,json5
67adb520391eb17f214a50b4,mental-demand,96,yaml
67d95269b47464c18da766ca,mental-demand,80,xml
64275e53f51a5ed4f6b7d019,mental-demand,100,toml
6734346ca8e90c2da6fb4509,mental-demand,85,jsonc
66049694dfb8828a8f3dce70,mental-demand,100,yaml
67ab214c2cde1be7c45535ac,mental-demand,100,jsonc
607728dc0b4f8590b94ae57c,mental-demand,70,jsonc
667c18ace97ab6869cb1c50e,mental-demand,89,hjson
667ac09492ea0caadf488520,mental-demand,98,json
6740ae39809389d7da9de209,mental-demand,95,xml
67c246023b44ca64d40ae45a,mental-demand,100,json5
67debe02a893eea51e8d02f2,mental-demand,95,json
673d0377254c407e5da57f97,mental-demand,78,toml
62fd14d7b1e0729dc8aadb79,mental-demand,80,xml
5dafea4de40355001651fa2f,mental-demand,87,jsonc
6787e4bd2bf9557a90208f03,mental-demand,80,yaml
5e8a5a892f6f027054a83d88,mental-demand,85,toml
67e4920c40c9561040ca01d0,mental-demand,90,xml
615200d54efc832849db2259,mental-demand,95,json
67f184a3b82990251abd1592,mental-demand,86,yaml
67bf88cc763aae600b429a3e,mental-demand,93,toml
67a754a5c8614c52a939d87b,mental-demand,60,hjson
60fce3df91350150e2e88423,mental-demand,81,yaml
67d29234dbfdb6668d124115,mental-demand,100,yaml
65cf6d8a589a67afcab54e6f,mental-demand,5,hjson
672d98919cc177d28c204e76,mental-demand,95,json5
66b0d065329001a04e5ae671,mental-demand,81,json
67f1a4f8dd44e7cd5adffa29,mental-demand,95,json5
5e3b5fa9255e7a37bc841135,mental-demand,90,json
677c52fe648cd68583dd3b1e,mental-demand,100,xml
5d30dfa68b1523000134878f,mental-demand,96,json
671a519900a99ebc15a67672,mental-demand,100,yaml
672ca6c0324ac26cdc0dd298,mental-demand,98,json5
67d7fa657f5ac0292a291a38,mental-demand,90,hjson
677d185800ab83d1b0185d82,mental-demand,91,jsonc
5b68c9eb87af310001584803,mental-demand,95,json5
6784ff2095dd9b97e969b01f,mental-demand,85,jsonc
67eff2b1a264260e948a4d14,mental-demand,100,xml
5ecc71c95c92c2000a9e9a19,mental-demand,95,jsonc
61267b828ead584bcf092e35,mental-demand,100,hjson
6501c0a2e788b5556c24569d,mental-demand,65,xml
637d8ca00150ac6e71a34ec9,mental-demand,100,yaml
67cb01a82dda2577eb6ee320,mental-demand,77,json
67e17bac09359e09118892b4,mental-demand,78,json5
6606b31155457e4f162ecf5a,mental-demand,100,json5
63e5b3e89a3823139cb9d35e,mental-demand,100,toml
66bb6b7e0ccbed81f3ed30a8,mental-demand,92,xml
6753746b1f8827e2bd586bf0,mental-demand,100,xml
67cd944859dabbd1d4552d39,mental-demand,95,json
57c357770e6a1f00015f6038,mental-demand,100,json
67d188bcc201cc08eac23f92,mental-demand,100,json5
67f3619e16d4ca195fbd1bd0,mental-demand,66,yaml
66781db404eab5e142f849d9,mental-demand,80,jsonc
667c2175b570aa694ce2f63c,mental-demand,90,toml
67d1283c8f6169900d0072d2,mental-demand,97,yaml
5f29eff59714081a3594a331,mental-demand,95,json
