participantId,task,difficulty,confidence,format
56cb8858edf8da000b6df354,modifying-task-tabular,1.5,6.75,hjson
56cb8858edf8da000b6df354,reading-task-tabular,1.0,7.0,hjson
57c357770e6a1f00015f6038,modifying-task-tabular,6.0,2.75,json
57c357770e6a1f00015f6038,reading-task-tabular,4.6,7.0,json
5b68c9eb87af310001584803,modifying-task-tabular,3.5,5.5,json5
5b68c9eb87af310001584803,reading-task-tabular,1.2,7.0,json5
5c6414540821d30001046198,modifying-task-tabular,3.0,4.5,hjson
5c6414540821d30001046198,reading-task-tabular,2.4,6.2,hjson
5d30dfa68b1523000134878f,modifying-task-tabular,2.25,6.0,json
5d30dfa68b1523000134878f,reading-task-tabular,1.0,7.0,json
5d766978f47e6200019a2acf,modifying-task-tabular,1.75,5.5,yaml
5d766978f47e6200019a2acf,reading-task-tabular,1.2,7.0,yaml
5dafea4de40355001651fa2f,modifying-task-tabular,5.0,2.25,jsonc
5dafea4de40355001651fa2f,reading-task-tabular,4.8,4.0,jsonc
5e3b5fa9255e7a37bc841135,modifying-task-tabular,2.5,3.0,json
5e3b5fa9255e7a37bc841135,reading-task-tabular,1.0,6.8,json
5e8a5a892f6f027054a83d88,modifying-task-tabular,2.0,4.0,toml
5e8a5a892f6f027054a83d88,reading-task-tabular,1.0,7.0,toml
5ecc71c95c92c2000a9e9a19,modifying-task-tabular,2.75,5.25,jsonc
5ecc71c95c92c2000a9e9a19,reading-task-tabular,1.0,7.0,jsonc
5f29eff59714081a3594a331,modifying-task-tabular,3.0,5.25,json
5f29eff59714081a3594a331,reading-task-tabular,1.8,6.8,json
60721c2da01b3a616edba9a7,modifying-task-tabular,6.0,5.25,xml
60721c2da01b3a616edba9a7,reading-task-tabular,2.8,5.8,xml
607728dc0b4f8590b94ae57c,modifying-task-tabular,2.25,5.75,jsonc
607728dc0b4f8590b94ae57c,reading-task-tabular,1.2,6.6,jsonc
60a0b744298c64d46b63e893,modifying-task-tabular,4.0,4.25,hjson
60a0b744298c64d46b63e893,reading-task-tabular,2.4,6.2,hjson
60f1f1d4ac991a259b83f603,modifying-task-tabular,1.75,5.75,json
60f1f1d4ac991a259b83f603,reading-task-tabular,3.4,5.8,json
60fce3df91350150e2e88423,modifying-task-tabular,5.25,3.0,yaml
60fce3df91350150e2e88423,reading-task-tabular,1.0,6.6,yaml
61267b828ead584bcf092e35,modifying-task-tabular,3.75,6.0,hjson
61267b828ead584bcf092e35,reading-task-tabular,1.2,7.0,hjson
615200d54efc832849db2259,modifying-task-tabular,3.75,4.5,json
615200d54efc832849db2259,reading-task-tabular,1.6,6.4,json
62fd14d7b1e0729dc8aadb79,modifying-task-tabular,1.75,6.0,xml
62fd14d7b1e0729dc8aadb79,reading-task-tabular,1.0,7.0,xml
637d8ca00150ac6e71a34ec9,modifying-task-tabular,5.75,2.25,yaml
637d8ca00150ac6e71a34ec9,reading-task-tabular,2.4,5.8,yaml
63e5b3e89a3823139cb9d35e,modifying-task-tabular,3.0,5.75,toml
63e5b3e89a3823139cb9d35e,reading-task-tabular,5.2,5.8,toml
64275e53f51a5ed4f6b7d019,modifying-task-tabular,2.5,5.5,toml
64275e53f51a5ed4f6b7d019,reading-task-tabular,1.0,7.0,toml
64457bc906c125cebd4bf66b,modifying-task-tabular,4.75,2.0,json5
64457bc906c125cebd4bf66b,reading-task-tabular,4.4,3.4,json5
6501c0a2e788b5556c24569d,modifying-task-tabular,5.75,5.75,xml
6501c0a2e788b5556c24569d,reading-task-tabular,5.8,6.0,xml
6577a27da9f5297d49f38e6f,modifying-task-tabular,2.75,5.75,hjson
6577a27da9f5297d49f38e6f,reading-task-tabular,2.2,6.8,hjson
65be552ceed6a0595fa1feb5,modifying-task-tabular,2.75,6.0,json
65be552ceed6a0595fa1feb5,reading-task-tabular,5.0,4.6,json
65cf6d8a589a67afcab54e6f,modifying-task-tabular,1.0,7.0,hjson
65cf6d8a589a67afcab54e6f,reading-task-tabular,1.0,6.8,hjson
65fad673a546ab14baf2f8d3,modifying-task-tabular,3.75,5.0,json5
65fad673a546ab14baf2f8d3,reading-task-tabular,1.8,5.8,json5
66049694dfb8828a8f3dce70,modifying-task-tabular,4.75,5.0,yaml
