participantId,format,task,startTime,endTime,duration_sec,difficulty,confidence
64457bc906c125cebd4bf66b,json5,writing-task-NL,1746559656954,1746559665762,8.808,1,7
64457bc906c125cebd4bf66b,json5,reading-task-tabular-1,1746560035266,1746560041262,5.996,4,4
64457bc906c125cebd4bf66b,json5,reading-task-tabular-2,1746560114063,1746560124630,10.567,4,3
64457bc906c125cebd4bf66b,json5,reading-task-tabular-3,1746560149554,1746560157039,7.485,5,3
64457bc906c125cebd4bf66b,json5,reading-task-tabular-4,1746560183791,1746560189177,5.386,3,5
64457bc906c125cebd4bf66b,json5,reading-task-tabular-5,1746560285964,1746560293926,7.962,6,2
64457bc906c125cebd4bf66b,json5,writing-task-tabular,1746561968651,1746561974364,5.713,7,1
64457bc906c125cebd4bf66b,json5,modifying-task-tabular-1,1746562131647,1746562139042,7.395,5,2
64457bc906c125cebd4bf66b,json5,modifying-task-tabular-2,1746562218785,1746562223827,5.042,4,3
64457bc906c125cebd4bf66b,json5,modifying-task-tabular-3,1746562287974,1746562292652,4.678,5,2
64457bc906c125cebd4bf66b,json5,modifying-task-tabular-4,1746562422154,1746562427556,5.402,5,1
6697c8b6d9d7baa7edd8c4d3,hjson,writing-task-NL,1745931539867,1745931548160,8.293,1,1
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular-1,1745932085849,1745932093677,7.828,1,1
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular-2,1745932180635,1745932198126,17.491,3,6
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular-3,1745932225134,1745932235514,10.38,1,7
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular-4,1745932265718,1745932275407,9.689,1,7
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular-5,1745932558854,1745932567122,8.268,4,3
6697c8b6d9d7baa7edd8c4d3,hjson,writing-task-tabular,1745933142992,1745933151007,8.015,7,1
6697c8b6d9d7baa7edd8c4d3,hjson,modifying-task-tabular-1,1745933462867,1745933472446,9.579,2,6
6697c8b6d9d7baa7edd8c4d3,hjson,modifying-task-tabular-2,1745933563827,1745933569713,5.886,3,5
6697c8b6d9d7baa7edd8c4d3,hjson,modifying-task-tabular-3,1745933692166,1745933701589,9.423,5,1
6697c8b6d9d7baa7edd8c4d3,hjson,modifying-task-tabular-4,1745933938174,1745933947149,8.975,3,4
67e25388d573ec2d5f1c8442,yaml,writing-task-NL,1746144890121,1746144907381,17.26,1,7
67e25388d573ec2d5f1c8442,yaml,reading-task-tabular-1,1746146564398,1746146571705,7.307,5,7
67e25388d573ec2d5f1c8442,yaml,reading-task-tabular-2,1746146663927,1746146670766,6.839,3,6
67e25388d573ec2d5f1c8442,yaml,reading-task-tabular-3,1746146713034,1746146717695,4.661,3,6
67e25388d573ec2d5f1c8442,yaml,reading-task-tabular-4,1746146761902,1746146768044,6.142,1,7
67e25388d573ec2d5f1c8442,yaml,reading-task-tabular-5,1746146822148,1746146837724,15.576,1,7
67e25388d573ec2d5f1c8442,yaml,writing-task-tabular,1746147375175,1746147382735,7.56,6,4
67e25388d573ec2d5f1c8442,yaml,modifying-task-tabular-1,1746147671627,1746147676803,5.176,5,5
