participantId,task,duration_sec,format
64457bc906c125cebd4bf66b,introduction,22.629,json5
64457bc906c125cebd4bf66b,qualifications,7.966,json5
64457bc906c125cebd4bf66b,consent,11.112,json5
64457bc906c125cebd4bf66b,task,6.186,json5
64457bc906c125cebd4bf66b,writing-task-NL,115.402,json5
64457bc906c125cebd4bf66b,writing-task-NL_post-task-question,8.808,json5
64457bc906c125cebd4bf66b,tutorial-part1,225.255,json5
64457bc906c125cebd4bf66b,tutorial-part2,128.872,json5
64457bc906c125cebd4bf66b,reading-task-tabular-1,14.824,json5
64457bc906c125cebd4bf66b,reading-task-tabular-1_post-task-question,5.996,json5
64457bc906c125cebd4bf66b,reading-task-tabular-2,72.466,json5
64457bc906c125cebd4bf66b,reading-task-tabular-2_post-task-question,10.567,json5
64457bc906c125cebd4bf66b,reading-task-tabular-3,24.606,json5
64457bc906c125cebd4bf66b,reading-task-tabular-3_post-task-question,7.485,json5
64457bc906c125cebd4bf66b,reading-task-tabular-4,26.41,json5
64457bc906c125cebd4bf66b,reading-task-tabular-4_post-task-question,5.386,json5
64457bc906c125cebd4bf66b,reading-task-tabular-5,96.426,json5
64457bc906c125cebd4bf66b,reading-task-tabular-5_post-task-question,7.962,json5
64457bc906c125cebd4bf66b,writing-task-tabular,113.52026856470587,json5
64457bc906c125cebd4bf66b,writing-task-tabular_post-task-question,5.713,json5
64457bc906c125cebd4bf66b,modifying-task-tabular-1,156.905,json5
64457bc906c125cebd4bf66b,modifying-task-tabular-1_post-task-question,7.395,json5
64457bc906c125cebd4bf66b,modifying-task-tabular-2,79.302,json5
64457bc906c125cebd4bf66b,modifying-task-tabular-2_post-task-question,5.042,json5
64457bc906c125cebd4bf66b,modifying-task-tabular-3,63.751,json5
64457bc906c125cebd4bf66b,modifying-task-tabular-3_post-task-question,4.678,json5
64457bc906c125cebd4bf66b,modifying-task-tabular-4,129.119,json5
64457bc906c125cebd4bf66b,modifying-task-tabular-4_post-task-question,5.402,json5
64457bc906c125cebd4bf66b,$nasa-tlx.co.nasa-tlx,23.218,json5
64457bc906c125cebd4bf66b,post-task-survey-tlx,40.36,json5
6697c8b6d9d7baa7edd8c4d3,introduction,66.469,hjson
6697c8b6d9d7baa7edd8c4d3,qualifications,19.21,hjson
6697c8b6d9d7baa7edd8c4d3,consent,114.146,hjson
6697c8b6d9d7baa7edd8c4d3,task,1732.415,hjson
6697c8b6d9d7baa7edd8c4d3,writing-task-NL,153.248,hjson
6697c8b6d9d7baa7edd8c4d3,writing-task-NL_post-task-question,8.293,hjson
6697c8b6d9d7baa7edd8c4d3,tutorial-part1,370.784,hjson
6697c8b6d9d7baa7edd8c4d3,tutorial-part2,100.488,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-1,66.056,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-1_post-task-question,7.828,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-2,86.757,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-2_post-task-question,17.491,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-3,26.815,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-3_post-task-question,10.38,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-4,30.013,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-4_post-task-question,9.689,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-5,283.238,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-5_post-task-question,8.268,hjson
6697c8b6d9d7baa7edd8c4d3,writing-task-tabular,352.871296768,hjson
6697c8b6d9d7baa7edd8c4d3,writing-task-tabular_post-task-question,8.015,hjson
6697c8b6d9d7baa7edd8c4d3,modifying-task-tabular-1,311.642,hjson
6697c8b6d9d7baa7edd8c4d3,modifying-task-tabular-1_post-task-question,9.579,hjson
6697c8b6d9d7baa7edd8c4d3,modifying-task-tabular-2,91.168,hjson
6697c8b6d9d7baa7edd8c4d3,modifying-task-tabular-2_post-task-question,5.886,hjson
6697c8b6d9d7baa7edd8c4d3,modifying-task-tabular-3,122.239,hjson
6697c8b6d9d7baa7edd8c4d3,modifying-task-tabular-3_post-task-question,9.423,hjson
6697c8b6d9d7baa7edd8c4d3,modifying-task-tabular-4,236.341,hjson
6697c8b6d9d7baa7edd8c4d3,modifying-task-tabular-4_post-task-question,8.975,hjson
6697c8b6d9d7baa7edd8c4d3,$nasa-tlx.co.nasa-tlx,33.116,hjson
6697c8b6d9d7baa7edd8c4d3,post-task-survey-tlx,171.838,hjson
67e25388d573ec2d5f1c8442,introduction,277.927,yaml
67e25388d573ec2d5f1c8442,qualifications,8.666,yaml
67e25388d573ec2d5f1c8442,consent,29.327,yaml
67e25388d573ec2d5f1c8442,task,143.092,yaml
67e25388d573ec2d5f1c8442,writing-task-NL,291.056,yaml
67e25388d573ec2d5f1c8442,writing-task-NL_post-task-question,17.26,yaml
67e25388d573ec2d5f1c8442,tutorial-part1,230.849,yaml
67e25388d573ec2d5f1c8442,tutorial-part2,1322.443,yaml
67e25388d573ec2d5f1c8442,reading-task-tabular-1,103.278,yaml
